DATE_TIME,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M
2022-01-01 00:00:00,0.0,19.51,82.45,1.85
2022-01-01 01:00:00,0.0,19.19,82.19,2.22
2022-01-01 02:00:00,0.0,19.09,82.22,2.62
2022-01-01 03:00:00,0.0,18.81,83.95,2.85
2022-01-01 04:00:00,0.0,18.62,85.79,3.03
2022-01-01 05:00:00,0.0,18.27,88.43,3.06
2022-01-01 06:00:00,0.0,17.95,90.82,3.08
2022-01-01 07:00:00,67.12,19.21,86.36,3.92
2022-01-01 08:00:00,216.15,21.42,79.69,3.68
2022-01-01 09:00:00,387.25,24.72,67.85,3.4
2022-01-01 10:00:00,554.78,27.42,58.25,2.71
2022-01-01 11:00:00,623.03,28.62,55.45,1.86
2022-01-01 12:00:00,623.85,29.18,53.74,1.34
2022-01-01 13:00:00,574.75,29.35,52.93,1.07
2022-01-01 14:00:00,459.75,29.25,52.93,0.86
2022-01-01 15:00:00,301.05,28.88,54.33,0.74
2022-01-01 16:00:00,128.1,28.18,58.17,0.75
2022-01-01 17:00:00,14.15,25.72,71.75,0.87
2022-01-01 18:00:00,0.0,23.93,77.5,1.09
2022-01-01 19:00:00,0.0,22.86,80.12,1.24
2022-01-01 20:00:00,0.0,22.0,82.55,1.37
2022-01-01 21:00:00,0.0,21.26,84.69,1.49
2022-01-01 22:00:00,0.0,20.62,86.3,1.56
2022-01-01 23:00:00,0.0,20.05,87.31,1.6
2022-01-02 00:00:00,0.0,19.56,87.51,1.67
2022-01-02 01:00:00,0.0,19.19,87.06,1.75
2022-01-02 02:00:00,0.0,18.89,86.85,1.78
2022-01-02 03:00:00,0.0,18.66,87.07,1.8
2022-01-02 04:00:00,0.0,18.46,87.73,1.86
2022-01-02 05:00:00,0.0,18.26,88.95,1.95
2022-01-02 06:00:00,0.0,18.14,90.14,2.13
2022-01-02 07:00:00,69.25,19.84,84.14,3.15
2022-01-02 08:00:00,221.23,21.84,78.2,3.23
2022-01-02 09:00:00,397.95,25.02,67.62,2.88
2022-01-02 10:00:00,603.7,27.63,58.53,2.54
2022-01-02 11:00:00,691.95,28.71,56.36,1.84
2022-01-02 12:00:00,646.3,29.4,53.97,1.16
2022-01-02 13:00:00,595.17,29.72,52.39,0.57
2022-01-02 14:00:00,479.55,29.71,51.7,0.12
2022-01-02 15:00:00,313.73,29.35,52.54,0.49
2022-01-02 16:00:00,137.12,28.56,56.27,0.77
2022-01-02 17:00:00,15.57,25.82,73.35,0.9
2022-01-02 18:00:00,0.0,24.01,77.44,1.19
2022-01-02 19:00:00,0.0,23.09,79.45,1.38
2022-01-02 20:00:00,0.0,22.33,81.99,1.43
2022-01-02 21:00:00,0.0,21.62,84.63,1.45
2022-01-02 22:00:00,0.0,20.98,86.72,1.49
2022-01-02 23:00:00,0.0,20.42,87.94,1.48
2022-01-03 00:00:00,0.0,19.98,88.24,1.47
2022-01-03 01:00:00,0.0,19.66,88.11,1.5
2022-01-03 02:00:00,0.0,19.42,88.01,1.51
2022-01-03 03:00:00,0.0,19.17,88.23,1.54
